"","date","txVolume.USD.","txCount","marketcap.USD.","price.USD.","exchangeVolume.USD.","generatedCoins","fees","activeAddresses"
"2016-02-13",55766.8394096,682,0,1.31,37094,6900.5168534,34.22315,"null",NA
"2016-02-14",62300.5775861,431,0,1.13,15138,5022.5280895,31.609,"null",NA
"2016-02-15",56638.8721944,485,0,1.18,45922,5044.36516815,29.7499,"null",NA
"2016-02-16",55868.088123,785,0,1.36,59303,8232.57865105,41.03195,"null",NA
"2016-02-17",43340.1301545,731,0,1.48,41295,7206.2359545,40.5675,"null",NA
"2016-02-18",34331.7881543,550,0,1.58,31431,5481.10674115,28.04275,"null",NA
"2016-02-19",24622.932871,518,0,1.43,18000,5743.15168495,27.55795,"null",NA
"2016-02-20",110999.092995,531,0,1.45,23922,6551.123595,38.2592,"null",NA
"2016-02-21",38117.9714951,565,0,1.55,27627,7031.5393253,29.8973,"null",NA
"2016-02-22",213110.122187,489,0,1.66,61298,6451.29694903,40.18555,"null",NA
"2016-02-23",533631.727134,694,1629160,1.74,90550,7543.15088131,38.5438,"null",NA
"2016-02-24",260782.065593,801,1804250,1.91,133621,10962.213481,44.29875,"null",NA
"2016-02-25",688633.817713,756,2554480,2.67,138725,8422.87319269,49.64435,"null",NA
"2016-02-26",625319.673364,596,2339830,2.43,48829,7574.34670807,37.54515,"null",NA
"2016-02-27",345223.22616,594,2361910,2.43,46765,8216.98073689,36.4492999999,"null",NA
"2016-02-28",136575.782478,658,2121660,2.17,29047,9545.9229517,36.459895,"null",NA
"2016-02-29",87532.164985,579,2211740,2.24,39208,7816.00626054,34.60783,"null",NA
"2016-03-01",322542.338608,667,2056790,2.06,69219,9142.5392929,45.2159499999,"null",NA
"2016-03-02",316542.899955,614,1708010,1.7,40583,7950.30274991,37.38025,"null",NA
"2016-03-03",5384553.23083,712,1719390,1.7,37621,9618.1984317,47.3013500001,"null",NA
"2016-03-04",1192530.89105,502,1764430,1.72,17233,7610.54622213,26.0445,"null",NA
"2016-03-05",55177.3229366,634,1791290,1.74,27323,8913.9758105,40.6385,"null",NA
"2016-03-06",477192.27484,618,1778700,1.71,37126,8574.21928272,41.6384956,"null",NA
"2016-03-07",241474.081656,580,2143660,2.04,34234,8864.55667923,31.66005,"null",NA
"2016-03-08",653389.405134,591,2292010,2.17,29222,8703.94450246,24.19295,"null",NA
"2016-03-09",971038.415275,647,2460340,2.31,82286,7907.06101006,34.37125,"null",NA
"2016-03-10",859272.410322,585,2663650,2.48,35050,9673.79495453,18.01185,"null",NA
"2016-03-11",2335043.91724,547,2517010,2.32,51701,8425.96188885,14.7154,"null",NA
"2016-03-12",344743.914188,580,2505580,2.29,51006,7968.83492418,21.394917,"null",NA
"2016-03-13",42793.1439375,472,2512840,2.28,22474,8320.94623479,12.5691,"null",NA
"2016-03-14",1102341.39458,542,2642520,2.38,48534,8839.84711359,28.1005999999,"null",NA
"2016-03-15",316185.57974,600,2709920,2.43,41795,9426.69929789,20.3519,"null",NA
"2016-03-16",269896.564486,540,2727830,2.42,38186,7622.90100494,19.12215,"null",NA
"2016-03-17",159298.581099,521,2979350,2.63,23704,8493.91319435,15.14104,"null",NA
"2016-03-18",390002.748587,561,2868020,2.51,20667,9964.13235089,17.000652,"null",NA
"2016-03-19",238180.745224,518,2804530,2.43,21945,8846.02450497,28.52351,"null",NA
"2016-03-20",129559.800628,481,2676350,2.31,20628,8438.31667156,23.811858,"null",NA
"2016-03-21",174394.601986,536,2551440,2.18,14562,7827.06073268,27.71284,"null",NA
"2016-03-22",600639.385646,551,2582630,2.19,19899,8740.09141541,31.182932,"null",NA
