"","date","txVolume.USD.","txCount","marketcap.USD.","price.USD.","exchangeVolume.USD.","generatedCoins","fees","activeAddresses"
"2013-12-18",3789441.18208,95216,2160040,0.000267,0,739786847,5188.43440385,134838,NA
"2013-12-19",10919230.6999,192523,3487800,0.000395,0,771582898,4689.41557583,248993,NA
"2013-12-20",50441971.0138,199950,10967000,0.001143,0,758765431,1412.57905471,255225,NA
"2013-12-21",27934092.8902,167414,7251820,7e-04,0,726686334,1842.71322368,226438,NA
"2013-12-22",14860540.0915,158224,4333660,0.000391,0,700004797,1341.83389603,210197,NA
"2013-12-23",12741031.2674,149008,3682510,0.000313,0,734348244,1234.36398376,197803,NA
"2013-12-24",14600987.6813,126443,5636240,0.00045,0,727433683,1089.82450371,176977,NA
"2013-12-25",24691477.8122,131133,9086260,0.000686,0,730638124,855.74549395,244147,NA
"2013-12-26",18865055.904,125828,8217120,0.000588,0,713324497,14802.2908991,286503,NA
"2013-12-27",19117491.3978,133542,8854330,0.000603,477422,683197526,47260.0128444,173620,NA
"2013-12-28",16034986.4983,113776,8051360,0.000524,341581,718112583,38676.2920018,149526,NA
"2013-12-29",13280687.8223,116612,7377480,0.000459,360974,717340085,37271.6310425,160057,NA
"2013-12-30",14113717.6856,122836,7598510,0.000452,276660,708484813,58368.5124157,157988,NA
"2013-12-31",12408014.5063,108639,7311460,0.000418,273400,703929399,53396.4810747,141755,NA
"2014-01-01",13560793.9733,110500,7701190,0.000423,307917,743166326,56073.0714057,142092,NA
"2014-01-02",13560046.066,112216,8504140,0.000449,318037,691044881,68795.793396,145633,NA
"2014-01-03",11918570.0576,111309,6940830,0.000353,303106,699428419,62019.1378328,144028,NA
"2014-01-04",9983915.15927,111888,6198170,0.000305,313907,678663575,64029.3444838,146684,NA
"2014-01-05",9446157.16671,92521,6318730,3e-04,245107,707058677,60034.4548462,121672,NA
"2014-01-06",7611900.33878,93503,5899650,0.000271,265529,704199226,63194.5514422,120514,NA
"2014-01-07",7442420.76736,93175,5726300,0.000255,212892,711509001,62060.1041421,120383,NA
"2014-01-08",6140822.57404,86764,5159610,0.000223,174256,684762013,53667.0091011,111999,NA
"2014-01-09",7555226.81799,91501,5415010,0.000227,314644,743974639,68836.3471611,119043,NA
"2014-01-10",7265708.69589,96897,6034890,0.000246,570553,703304146,75218.0477781,124631,NA
"2014-01-11",11566512.3794,96967,9428560,0.000373,986660,710307257,69939.9457603,127327,NA
