"","date","txVolume.USD.","txCount","marketcap.USD.","price.USD.","exchangeVolume.USD.","generatedCoins","fees","activeAddresses"
"2016-07-27",25231354.9531,34042,202315000,2.46,62645700,33052.34375,26.8256999035,17978,NA
"2016-07-28",20020879.4028,23447,128530000,1.56,40291300,33480.46875,21.7173534742,11376,NA
"2016-07-29",13195596.0082,18362,140887000,1.71,20745500,35176.875,19.6500413467,5555,NA
"2016-07-30",8009725.33899,15092,136213000,1.66,10061600,32699.53125,11.117137677,4385,NA
"2016-07-31",7253346.3474,16525,129265000,1.57,29167500,35503.75,12.607749391,4617,NA
"2016-08-01",12740991.275,20533,147548000,1.79,45924200,36351.875,14.495825735,5283,NA
"2016-08-02",19651020.0428,26061,194318000,2.36,147855000,37578.125,18.7776739282,8581,NA
"2016-08-03",14944007.4831,28575,228712000,2.78,74184500,35055,21.5209123237,8670,NA
"2016-08-04",13938669.2614,23927,213375000,2.59,43516500,32255.625,17.9889128156,6915,NA
"2016-08-05",10963048.2184,18801,193412000,2.35,20254400,35111.5625,13.7970808781,5062,NA
"2016-08-06",11336422.2903,19205,213044000,2.59,22874700,36771.875,13.5784430224,4818,NA
"2016-08-07",12549032.5266,18929,222683000,2.7,31153900,34467.34375,12.4397919058,4951,NA
"2016-08-08",25364799.7647,15872,178435000,2.16,15781200,35828.28125,12.3903560273,4529,NA
"2016-08-09",13380525.3033,17414,179978000,2.17,23612300,31986.875,13.7183403438,5868,NA
"2016-08-10",33607783.9405,15786,160983000,1.94,20082200,33414.0625,11.542645509,4526,NA
"2016-08-11",9766601.52953,16122,142268000,1.72,17263000,34447.1875,11.3354066707,4692,NA
"2016-08-12",13100349.8186,15467,152797000,1.84,15418800,33269.53125,10.4003020861,3907,NA
"2016-08-13",1867812.14282,14427,153918000,1.86,3822490,33361.5625,9.74120400256,3436,NA
"2016-08-14",4102968.43473,14922,154946000,1.87,6985300,33261.25,24.4133446356,3516,NA
"2016-08-15",4979300.10919,14922,159898000,1.93,7282060,33262.1875,9.91306561228,3662,NA
"2016-08-16",3876261.30501,17963,154786000,1.87,4062150,33623.4375,13.2951076501,4720,NA
"2016-08-17",3594860.11824,14460,154458000,1.86,5087980,33452.8125,9.6855644456,3727,NA
"2016-08-18",3942630.63201,12799,144697000,1.74,4469650,33878.4375,8.16487811713,3476,NA
"2016-08-19",3134742.53213,12560,139926000,1.68,6186480,34077.5,8.37700998914,3361,NA
"2016-08-20",2129817.56567,12964,147957000,1.78,3315060,35246.09375,8.53825856974,3404,NA
"2016-08-21",1418702.25548,12662,145110000,1.75,1866780,33357.34375,8.24494349212,3276,NA
"2016-08-22",9596853.68189,13503,143596000,1.73,4757220,33181.25,9.55948216087,3518,NA
"2016-08-23",5263771.30954,13933,139367000,1.67,6292880,33152.96875,9.33990499448,3609,NA
"2016-08-24",5763296.8055,12890,133732000,1.61,6191350,32754.6875,8.89163437492,3415,NA
"2016-08-25",4695118.78278,12931,120071000,1.44,9500860,33195.78125,9.03404699238,3665,NA
"2016-08-26",5794452.57533,12362,114207000,1.37,6251250,32770.625,8.24544027371,3056,NA
"2016-08-27",6678865.57889,11650,119989000,1.44,3494870,33052.65625,7.31959516239,3015,NA
"2016-08-28",3317223.95311,11708,112287000,1.35,4837510,32619.6875,7.45058709034,3147,NA
"2016-08-29",4341129.23459,11768,109994000,1.32,6289800,32892.65625,8.09737045277,3259,NA
"2016-08-30",6533758.33002,12860,105167000,1.26,6984970,33150.3125,9.76998073545,3878,NA
"2016-08-31",5011092.09294,13091,103201000,1.24,6098980,32610.3125,9.32275601144,4112,NA
"2016-09-01",15875364.9015,15357,99255000,1.19,13501800,34188.90625,11.6239862553,4506,NA
"2016-09-02",6126096.46668,22958,121870000,1.46,6325890,33787.5,24.8058422257,3609,NA
"2016-09-03",9062834.98962,12484,116853000,1.4,4659540,32461.40625,8.19793091832,3120,NA
"2016-09-04",4129116.93728,12763,112345000,1.34,3690740,33774.53125,8.92353716438,3057,NA
"2016-09-05",14500752.2269,13993,122418000,1.46,4621750,33558.59375,9.36939327965,3320,NA
"2016-09-06",2493994.59663,14696,121876000,1.46,2566580,32971.40625,9.43950047066,4223,NA
"2016-09-07",6083830.89177,18314,122689000,1.47,2868960,33533.75,12.1826728811,6675,NA
