"","date","txVolume.USD.","txCount","marketcap.USD.","price.USD.","exchangeVolume.USD.","generatedCoins","fees","activeAddresses"
"2015-08-10",1193011.28756,1999,43130000,0.713989,405283,27817.34375,31.1651444384,1001,NA
"2015-08-11",1051922.38685,4945,42796500,0.708087,1463100,28027.8125,11.311448586,2342,NA
"2015-08-12",792332.720964,1993,64018400,1.06,2150620,27370.9375,32.5869924044,906,NA
"2015-08-13",2181178.65188,2807,73935400,1.22,4068680,28268.125,24.9291691099,1274,NA
"2015-08-14",4154762.74448,3144,109594000,1.81,4637030,31106.71875,14.3548341128,1594,NA
"2015-08-15",8336306.79171,2264,109160000,1.8,2554360,28512.65625,8.83659302805,1313,NA
"2015-08-16",2870425.71771,2422,102028000,1.68,3550790,27094.53125,6.67723792491,1202,NA
"2015-08-17",3546720.03334,2503,95819700,1.58,1942830,28118.90625,7.64281183963,1249,NA
"2015-08-18",1889437.07633,2485,88143200,1.22,1485680,26162.8125,11.9060713402,1294,NA
"2015-08-19",1345002.29288,3224,84663900,1.17,1486240,27282.03125,15.4309506695,1350,NA
"2015-08-20",521679.807637,2266,90809000,1.25,2843760,21057.03125,6.85556694271,1167,NA
"2015-08-21",868536.958506,3888,107266000,1.48,2020970,26690.9375,7.85504172471,1425,NA
"2015-08-22",692395.557139,3562,101404000,1.4,948310,27550.46875,42.5471718296,1414,NA
"2015-08-23",687012.117519,4126,99894500,1.38,1589300,26255.625,8.0497676729,1570,NA
"2015-08-24",623945.245422,4423,97791600,1.35,924920,27333.28125,8.8762854198,1436,NA
"2015-08-25",499939.847307,4449,89321900,1.23,1307180,26736.09375,8.25975582511,1580,NA
"2015-08-26",496507.859703,4112,82384400,1.13,1056750,26137.96875,7.44772927856,1527,NA
"2015-08-27",319146.960498,5568,85106100,1.17,686662,24532.8125,8.67096304289,1591,NA
"2015-08-28",345519.947941,4723,83521700,1.15,721872,24225.15625,9.92514837051,1531,NA
"2015-08-29",512109.426379,4109,86887600,1.19,375377,22525,5.50745152606,1375,NA
"2015-08-30",490782.177398,4547,86145900,1.18,1337650,21453.59375,5.63417374243,1624,NA
"2015-08-31",508000.974842,5165,96251000,1.32,1447180,21293.4375,7.42453381438,1515,NA
"2015-09-01",1916754.26487,5114,98617200,1.35,778862,20339.21875,7.84376985589,1555,NA
"2015-09-02",374646.61176,5160,98504600,1.35,883769,18391.09375,8.15373533105,1514,NA
"2015-09-03",723808.352486,4738,94418700,1.3,702991,17380.9375,6.9700256741,1448,NA
"2015-09-04",222451.293434,5601,92234100,1.26,474391,23081.875,9.73385636147,1450,NA
"2015-09-05",214369.117466,5471,93402300,1.28,448453,25629.0625,9.1412283236,1486,NA
"2015-09-06",396954.237931,5489,97625500,1.34,491968,26168.28125,8.05548773452,1587,NA
"2015-09-07",263278.900135,5626,94585300,1.3,489014,25460.46875,9.25642239587,1632,NA
"2015-09-08",329606.821851,5604,91020700,1.25,427892,25888.75,10.379926302,1545,NA
"2015-09-09",1420839.17268,5577,90518300,1.24,366748,26431.40625,9.84060106916,1543,NA
"2015-09-10",249258.75473,5328,88230500,1.21,662782,26444.21875,7.9258071708,1539,NA
"2015-09-11",842671.398706,6439,85144300,1.16,1942600,27238.59375,8.87672815268,1701,NA
"2015-09-12",214854.468238,5555,72179000,0.987228,772430,26402.34375,11.3548331935,1544,NA
