"","date","txVolume.USD.","txCount","marketcap.USD.","price.USD.","exchangeVolume.USD.","generatedCoins","fees","activeAddresses"
"2013-05-01",76374202.7997,8990,73901200,4.29,0,31699.9795,639.97236699,16991,NA
"2013-05-02",11631506.3398,8031,65242700,3.78,0,26150,528.80359447,15769,NA
"2013-05-03",4632241.48783,6280,58607400,3.39,0,19900,375.72909058,12956,NA
"2013-05-04",5725030.20416,6168,52476400,3.03,0,20875,374.67043752,12377,NA
"2013-05-05",6579465.33848,5948,60525000,3.49,0,22100,317.3529699,12245,NA
"2013-05-06",13489738.1338,10636,62356000,3.59,0,31850,745.33360305,18244,NA
"2013-05-07",9082297.71815,8712,58588300,3.37,0,37925,450.48121143,16710,NA
"2013-05-08",6748147.05307,9035,57196300,3.28,0,36500,496.3183591,16851,NA
"2013-05-09",9291190.98695,12776,59337100,3.4,0,37050,944.55579909,20459,NA
"2013-05-10",8136961.73222,10503,59588000,3.41,0,37000,709.35641404,18054,NA
"2013-05-11",18682243.087,7000,60658000,3.46,0,31300,405.24961215,14207,NA
"2013-05-12",8487885.82351,6924,59052900,3.36,0,30750,377.1173053,13924,NA
"2013-05-13",7021996.48932,6596,57363200,3.26,0,28850,355.15999469,13620,NA
"2013-05-14",7571576.1921,7218,57812000,3.28,0,29550,406.67410524,14370,NA
"2013-05-15",6523932.12534,6500,49842500,2.82,0,27900,366.73639193,13301,NA
"2013-05-16",6475101.89961,7434,51790900,2.93,0,28500,465.7979844,14608,NA
"2013-05-17",6079749.17498,6638,51195900,2.89,0,26700,384.78127068,13148,NA
"2013-05-18",5818653.76478,5660,56721100,3.2,0,27525,301.13206803,11868,NA
"2013-05-19",5637138.59851,5590,58645400,3.3,0,27150,275.62697121,11892,NA
"2013-05-20",5155162.31399,6375,58962900,3.31,0,27400,367.03841859,13264,NA
"2013-05-21",6715033.98898,6248,56887600,3.19,0,26900,361.07769011,12779,NA
"2013-05-22",6188331.01866,5319,55165300,3.09,0,27900,279.27636353,11279,NA
"2013-05-23",6864769.9128,5939,55727000,3.12,0,30950,329.20237443,12400,NA
"2013-05-24",7931107.21655,5997,56747200,3.17,0,32799.92,350.30271943,12545,NA
"2013-05-25",6206968.65762,5080,57165800,3.19,0,31350,294.10036371,11082,NA
"2013-05-26",6052556.6838,5138,56123900,3.12,0,28500,295.79404855,11330,NA
"2013-05-27",5972393.05828,4880,58130800,3.23,0,28000,242.39658365,10639,NA
"2013-05-28",5568496.49434,5115,55916500,3.1,0,29150,248.42685418,11265,NA
"2013-05-29",5351765.53046,5065,55814300,3.09,0,29450,260.31382668,10978,NA
"2013-05-30",6479936.58865,5250,55640200,3.08,0,30700,288.95641956,11319,NA
"2013-05-31",6273037.66195,5100,53813700,2.97,0,30000,246.78050295,11152,NA
"2013-06-01",5622721.10498,4260,53372200,2.94,0,28400,224.54032723,9551,NA
"2013-06-02",4943299.64706,4495,51378100,2.83,0,28350,220.72951435,9833,NA
"2013-06-03",5081184.22889,4544,49688400,2.73,0,28050,242.6769938,10093,NA
"2013-06-04",4479206.90876,4539,49268800,2.7,0,26950,252.17691073,10219,NA
"2013-06-05",5414929.16901,4655,52338100,2.87,0,30100,279.34608761,10256,NA
"2013-06-06",4458967.79232,4544,52595600,2.88,0,29350,226.14636975,9974,NA
"2013-06-07",6934174.96927,4810,50890900,2.78,0,32899.96,305.38194828,10491,NA
