"","date","txVolume.USD.","txCount","marketcap.USD.","price.USD.","exchangeVolume.USD.","generatedCoins","fees","activeAddresses"
"2015-04-04",30479.063047,4555,2792120,0.00031,23550,"null",52142.913658,212,NA
"2015-04-05",43122.7310276,6673,2443720,0.000272,26800,"null",73618.754782,187,NA
"2015-04-06",32179.2230263,3975,2088380,0.000232,22512,"null",45846.435994,205,NA
"2015-04-07",31120.4602542,7741,2596140,0.000288,14437,"null",82416.440551,152,NA
"2015-04-08",24228.546341,9372,2209250,0.000245,6933,"null",97923.23669,177,NA
"2015-04-09",8772.51658569,1961,2048560,0.000228,10014,"null",18737.571264,134,NA
"2015-04-10",17480.8240754,23680,2017780,0.000224,16846,"null",60601.545202,161,NA
"2015-04-11",23658.745822,11845,1571870,0.000175,22846,"null",42899.94626,133,NA
"2015-04-12",7015.13965592,23852,1469950,0.000163,5569,"null",57469.537305,106,NA
"2015-04-13",11968.3615232,26883,1316600,0.000146,11803,"null",149287.568054,133,NA
"2015-04-14",14184.6818416,29089,1254160,0.000139,14654,"null",80038.608966,148,NA
"2015-04-15",11045.6914459,15755,1399610,0.000156,8196,"null",49501.202844,122,NA
"2015-04-16",7704.10921579,9597,1391420,0.000155,5317,"null",65892.258322,108,NA
"2015-04-17",7340.04543153,17148,1507870,0.000168,4556,"null",51457.901307,97,NA
"2015-04-18",12027.3454541,5960,1503010,0.000167,9117,"null",31304.997764,112,NA
"2015-04-19",9201.62098129,12612,1269820,0.000141,7193,"null",43481.515713,111,NA
"2015-04-20",11351.7399436,16081,1324160,0.000147,6681,"null",51329.301024,112,NA
"2015-04-21",6391.4188904,13488,1194180,0.000133,3912,"null",44614.386702,106,NA
"2015-04-22",7884.18346879,4586,1233120,0.000137,2353,"null",24345.965281,79,NA
"2015-04-23",7845.87747884,8635,1244580,0.000138,2117,"null",36118.60195,99,NA
"2015-04-24",17442.0616674,2146,1234000,0.000137,3058,"null",19824.935988,79,NA
"2015-04-25",8424.51165724,1534,1345350,0.000149,2480,"null",18521.272197,82,NA
"2015-04-26",7153.70823152,1514,1263860,0.00014,2074,"null",19341.907226,62,NA
"2015-04-27",10221.1537035,4897,1205740,0.000134,6660,"null",27952.527184,173,NA
"2015-04-28",12300.6316232,8180,1442520,0.00016,3358,"null",30735.801465,70,NA
"2015-04-29",9778.10904425,1783,1337590,0.000149,2013,"null",15198.641932,75,NA
"2015-04-30",1113.50273371,10926,1323030,0.000147,959,"null",31681.386858,36,NA
"2015-05-01",2628.63572373,1474,1412990,0.000157,692,"null",16103.325719,37,NA
"2015-05-02",1152.87762368,1468,1381060,0.000153,1543,"null",15447.883896,34,NA
"2015-05-03",3608.13217818,1495,1395620,0.000155,4417,"null",17059.201942,49,NA
"2015-05-04",4507.96387493,1495,1340690,0.000149,2595,"null",17191.159173,39,NA
"2015-05-05",3622.6703517,5546,1355840,0.000151,3974,"null",31755.993137,47,NA
"2015-05-06",2610.98877657,1486,1270090,0.000141,1125,"null",15785.636344,36,NA
"2015-05-07",6443.3564012,1579,1281970,0.000142,2475,"null",16253.613231,55,NA
"2015-05-08",6150.97636624,1501,1407390,0.000156,1043,"null",15911.782755,58,NA
"2015-05-09",3985.73230196,1468,1396760,0.000155,623,"null",15143.712372,36,NA
"2015-05-10",5836.8097942,7142,1349300,0.00015,1774,"null",27300.048408,36,NA
"2015-05-11",4161.26635796,2056,1362660,0.000151,3367,"null",15945.953815,38,NA
"2015-05-12",4526.50390797,1496,1394760,0.000155,4765,"null",17010.736102,54,NA
"2015-05-13",4655.36643324,1495,1483990,0.000165,4187,"null",16837.888004,43,NA
"2015-05-14",2786.97121895,1416,1427580,0.000159,1647,"null",16479.544478,53,NA
"2015-05-15",581.825308332,775,1439930,0.00016,1260,"null",8395.453318,29,NA
"2015-05-16",10450.5510443,1515,1474940,0.000164,4958,"null",18541.813576,61,NA
"2015-05-17",1083.07633804,1020,1399200,0.000155,1049,"null",11319.169529,28,NA
"2015-05-18",5780.04580622,1341,1437570,0.00016,12653,"null",16537.614775,44,NA
"2015-05-19",18791.5003758,1551,1493820,0.000166,9163,"null",21366.134724,79,NA
"2015-05-20",12379.1855281,1492,1536820,0.000171,8928,"null",19588.920028,48,NA
"2015-05-21",11781.5693714,1519,1545760,0.000172,7586,"null",18782.280401,73,NA
"2015-05-22",6968.29547876,1228,1549800,0.000172,4136,"null",13990.42309,58,NA
"2015-05-23",7896.80412154,992,1596980,0.000177,4560,"null",13020.943241,52,NA
"2015-05-24",22278.6929815,1156,1594140,0.000177,5675,"null",15210.555611,46,NA
"2015-05-25",9685.5258993,1482,1638490,0.000182,6871,"null",17596.188115,57,NA
"2015-05-26",3552.95994056,1474,1599720,0.000178,3845,"null",16713.596004,42,NA
"2015-05-27",12745.1587819,1507,1645670,0.000183,8659,"null",18420.394968,57,NA
"2015-05-28",11046.8072669,1193,1753140,0.000195,7217,"null",15560.900657,66,NA
"2015-05-29",8736.52945248,1409,1762160,0.000196,7999,"null",19429.412991,65,NA
"2015-05-30",5696.56063789,861,1650510,0.000183,7228,"null",11116.213866,64,NA
"2015-05-31",7140.16666975,1353,1667200,0.000185,4684,"null",16185.960802,33,NA
"2015-06-01",510.810250356,1387,1590560,0.000177,3525,"null",14453.273995,26,NA
"2015-06-02",3236.19048572,1474,1530820,0.00017,5642,"null",16767.234563,30,NA
"2015-06-03",8783.50045283,1484,1604330,0.000178,1820,"null",16082.727355,39,NA
"2015-06-04",2823.24848098,1472,1595180,0.000177,2220,"null",16398.258281,25,NA
"2015-06-05",2196.88025871,1462,1546270,0.000172,4105,"null",15626.607398,27,NA
"2015-06-06",4129.3036805,1490,1611430,0.000179,3364,"null",16245.379246,38,NA
"2015-06-07",3576.26359757,1485,1529050,0.00017,3360,"null",17045.028629,33,NA
"2015-06-08",1056.28255824,1219,1510060,0.000168,3110,"null",12914.977757,22,NA
"2015-06-09",9606.55331899,912,1541750,0.000171,8723,"null",12340.187717,52,NA
"2015-06-10",1536.77872778,1516,1344300,0.000149,4577,"null",16822.332763,45,NA
"2015-06-11",1864.83792111,1612,1379440,0.000153,4653,"null",17801.144604,108,NA
"2015-06-12",4150.6737289,1412,1333110,0.000148,3589,"null",15974.65612,36,NA
"2015-06-13",6413.94548271,1407,1332020,0.000148,2980,"null",16735.631597,44,NA
"2015-06-14",2641.24329268,968,1399050,0.000155,2903,"null",11139.287141,31,NA
"2015-06-15",6758.49575303,1494,1396540,0.000155,9550,"null",17810.017632,43,NA
"2015-06-16",7876.51584639,1416,1326840,0.000147,6374,"null",15509.80994,38,NA
"2015-06-17",3154.50761559,1453,1443470,0.00016,8668,"null",16678.259669,40,NA
"2015-06-18",1075.71791377,1435,1444400,0.00016,3683,"null",15041.811541,16,NA
"2015-06-19",4866.22692049,1425,1554080,0.000173,6743,"null",15527.660438,29,NA
"2015-06-20",887.184807556,529,1391420,0.000155,1488,"null",11233.44289,28,NA
"2015-06-21",1830.67608365,514,1420970,0.000158,616,"null",16146.466674,29,NA
"2015-06-22",1075.82874532,503,1448390,0.000161,4900,"null",15344.331841,25,NA
"2015-06-23",1881.78606619,430,1406300,0.000156,2518,"null",13574.496485,20,NA
"2015-06-24",5501.93984846,292,1419880,0.000158,1656,"null",9339.630814,26,NA
"2015-06-25",8380.35799964,487,1404230,0.000156,2791,"null",14035.949168,47,NA
"2015-06-26",6659.05330999,394,1389110,0.000154,3547,"null",13115.673886,31,NA
"2015-06-27",3816.421864,510,1335410,0.000148,4043,"null",17094.507999,26,NA
"2015-06-28",1746.31980217,512,1409620,0.000157,1838,"null",16150.613706,26,NA
"2015-06-29",1086.82129644,494,1366110,0.000152,2007,"null",14948.657866,29,NA
"2015-06-30",976.64005278,443,1346030,0.00015,5197,"null",13890.232821,15,NA
"2015-07-01",1945.12737848,509,1453660,0.000162,2224,"null",16722.801842,27,NA
"2015-07-02",5211.19452269,512,1279500,0.000142,1323,"null",15890.292235,33,NA
"2015-07-03",2733.71828335,487,1290670,0.000143,3873,"null",15533.848012,14,NA
"2015-07-04",1818.4356674,513,1292130,0.000144,1575,"null",16266.085333,14,NA
"2015-07-05",3587.1055407,526,1268850,0.000141,3717,"null",16925.957132,27,NA
"2015-07-06",1748.41933575,500,1155430,0.000128,521,"null",15740.946132,15,NA
"2015-07-07",6111.38270319,413,1133560,0.000126,3977,"null",13163.24,18,NA
"2015-07-08",2346.71263294,335,1280690,0.000142,2407,"null",11292.352789,21,NA
"2015-07-09",1026.91968297,439,1446360,0.000161,1678,"null",13324.152529,19,NA
"2015-07-10",1272.14192117,481,1296490,0.000144,3166,"null",14881.462584,22,NA
"2015-07-11",2627.53814636,573,1303490,0.000145,5422,"null",17106.447224,93,NA
"2015-07-12",3251.2817344,513,1453080,0.000161,3108,"null",16613.845403,26,NA
"2015-07-13",4639.38651535,502,1417480,0.000157,3229,"null",15016.55194,22,NA
"2015-07-14",1272.30811863,469,1413370,0.000157,970,"null",14130.815493,19,NA
"2015-07-15",438.208009035,482,1420690,0.000158,746,"null",14855.845709,15,NA
"2015-07-16",1186.59261915,490,1333850,0.000148,1869,"null",14966.552072,12,NA
"2015-07-17",589.653108836,494,1279530,0.000142,191,"null",15422.036922,15,NA
"2015-07-18",451.685995823,499,1337300,0.000149,783,"null",15146.998444,22,NA
"2015-07-19",513.447029818,504,1310970,0.000146,898,"null",15395.695533,27,NA
"2015-07-20",12959.0600183,489,1297720,0.000144,4446,"null",16841.602116,30,NA
"2015-07-21",2000.10988875,404,1336880,0.000149,2177,"null",11948.804688,19,NA
"2015-07-22",3555.30681188,274,1337450,0.000149,1237,"null",8417.735131,23,NA
"2015-07-23",1449.81061384,503,1280660,0.000142,2965,"null",16042.827374,19,NA
"2015-07-24",7629.08370931,563,1313850,0.000146,20017,"null",21045.622516,37,NA
"2015-07-25",2836.03401309,534,1582230,0.000176,6331,"null",17055.035619,41,NA
"2015-07-26",4651.28216288,534,1638760,0.000182,3001,"null",17477.185799,36,NA
"2015-07-27",5945.20201116,508,1556100,0.000173,4905,"null",16898.51389,25,NA
"2015-07-28",2801.75001412,523,1467380,0.000163,3019,"null",17941.396741,38,NA
"2015-07-29",1040.48448954,500,1562880,0.000174,1294,"null",14714.790779,17,NA
"2015-07-30",4509.34286483,526,1451930,0.000161,1904,"null",15905.589758,41,NA
"2015-07-31",341.57612516,486,1496260,0.000166,798,"null",14532,9,NA
"2015-08-01",1313.12630698,495,1473700,0.000164,1445,"null",15516.557146,20,NA
"2015-08-02",3564.99884911,504,1465340,0.000163,2565,"null",16526.179903,22,NA
"2015-08-03",1368.76244126,492,1382850,0.000154,2002,"null",15856.537045,15,NA
"2015-08-04",1719.14405162,396,1386140,0.000154,2833,"null",12792.32744,16,NA
"2015-08-05",5353.80600359,500,1334650,0.000148,4230,"null",16743.444724,17,NA
"2015-08-06",2121.98595031,377,1331060,0.000148,952,"null",11766.977967,19,NA
"2015-08-07",841.999470144,15,1266520,0.000141,1811,"null",801.282901,16,NA
