"","date","txVolume.USD.","txCount","marketcap.USD.","price.USD.","exchangeVolume.USD.","generatedCoins","fees","activeAddresses"
"2014-05-24","null",1026,2653720,2.92,248028,24975.8373414,0.002842246267,"null",NA
"2014-05-25","null",1486,3774890,4.04,283545,20133.313716,0.002369143303,"null",NA
"2014-05-26","null",1985,3070190,3.22,220148,21236.7283498,0.014979522317,"null",NA
"2014-05-27","null",2084,2958060,3.03,97603,21302.6208872,3.04746212718,"null",NA
"2014-05-28","null",1341,2231880,2.24,177716,24305.3341399,4.99131557173,"null",NA
"2014-05-29","null",1862,2251030,2.21,109157,20042.8486729,6.11866208503,"null",NA
"2014-05-30","null",1396,1742630,1.68,119296,23352.4411997,5.73523327804,"null",NA
"2014-05-31","null",1071,1675440,1.58,117399,26268.4725099,5.12380070104,"null",NA
"2014-06-01","null",1150,2111850,1.94,130602,23103.3780211,5.49229620917,"null",NA
"2014-06-02","null",1493,1964820,1.76,47672,22811.0128622,8.26006948906,"null",NA
"2014-06-03","null",2084,1966370,1.73,91332,23083.0253993,11.752766976,"null",NA
"2014-06-04","null",2256,2238440,1.93,51886,24583.6422659,13.0910605947,"null",NA
"2014-06-05","null",2582,2000103.33333,1.7,49319.6666667,21992.6395304,14.3678023443,"null",NA
"2014-06-06","null",3056,1761766.66667,1.47,46753.3333333,22828.0838587,16.7579042011,"null",NA
"2014-06-07","null",2156,1523430,1.24,44187,22557.924894,12.4380620699,"null",NA
"2014-06-08","null",2434,1702900,1.36,40634,22983.8943081,13.6288046815,"null",NA
"2014-06-09","null",2661,1697580,1.33,56500,22759.2689002,14.5268217814,"null",NA
"2014-06-10","null",2927,1917820,1.48,182599,25117.2696697,15.9074534792,"null",NA
"2014-06-11","null",3051,2279840,1.72,85735,20798.1266404,18.7265404235,"null",NA
"2014-06-12","null",4588,2174900,1.62,108619,23517.4805809,28.9363683172,"null",NA
"2014-06-13","null",5478,2257650,1.65,84237,23229.9815291,34.6814071043,"null",NA
"2014-06-14","null",5432,2677530,1.93,276919,24260.1101317,42.229096636,"null",NA
"2014-06-15","null",5401,3288170,2.32,150652,21016.3751769,36.4432868527,"null",NA
"2014-06-16","null",4876,3905660,2.72,438776,24372.7039544,38.0330704794,"null",NA
"2014-06-17","null",4042,4601540,3.15,228445,22836.0138496,27.7641348516,"null",NA
"2014-06-18","null",3776,4304890,2.9,183102,23229.4112528,78.4720280595,"null",NA
"2014-06-19","null",4074,4188790,2.78,283962,24146.9484528,29.0746418786,"null",NA
"2014-06-20","null",2658,4844000,3.17,543764,23271.114609,17.7255789772,"null",NA
"2014-06-21","null",3499,6730580,4.33,723077,24028.4003651,23.5780405833,"null",NA
"2014-06-22","null",2780,7853920,4.98,491984,24286.1726563,18.6350149803,"null",NA
"2014-06-23","null",3048,6851250,4.28,433301,22037.98903,21.5535874165,"null",NA
"2014-06-24","null",2742,6374590,3.93,150995,22458.0608413,18.8722521046,"null",NA
"2014-06-25","null",2403,5313820,3.23,217183,22474.351194,16.5202398797,"null",NA
"2014-06-26","null",2319,5471230,3.28,117740,23332.8999567,15.8871040847,"null",NA
"2014-06-27","null",2088,5044180,2.98,250643,23130.2059741,14.4711031793,"null",NA
"2014-06-28","null",1791,3997740,2.32,184970,22606.8779905,12.5184184397,"null",NA
"2014-06-29","null",1846,4434960,2.55,138511,23359.3334787,12.9273213892,"null",NA
"2014-06-30","null",1998,4484350,2.55,124575,23124.908641,13.9085087608,"null",NA
"2014-07-01","null",1901,4470350,2.51,98540,23221.5835703,13.4070319597,"null",NA
"2014-07-02","null",1774,4225600,2.34,101095,22222.8646463,13.0075882067,"null",NA
"2014-07-03","null",1878,4217730,2.31,168532,22959.3782048,13.4667565078,"null",NA
"2014-07-04","null",1788,4899760,2.64,148555,22981.9611962,12.8828723349,"null",NA
"2014-07-05","null",1618,4956910,2.64,68525,23276.0867187,11.3624746243,"null",NA
"2014-07-06","null",1678,4690900,2.47,77663,22160.7549783,12.0309150718,"null",NA
"2014-07-07","null",1915,4609840,2.4,111370,22060.1749323,13.490081883,"null",NA
"2014-07-08","null",1850,3851290,1.98,94993,22466.6808283,13.4032729874,"null",NA
"2014-07-09","null",1671,4518280,2.3,69554,22490.1743311,12.2189901923,"null",NA
"2014-07-10","null",1570,4033590,2.03,89099,22602.0223528,11.978254204,"null",NA
"2014-07-11","null",1760,3746700,1.86,116666,22269.1929844,13.5578125046,"null",NA
"2014-07-12","null",1401,3648870,1.79,65375,22542.0636534,10.5564899792,"null",NA
"2014-07-13","null",1754,3562450,1.73,122049,22307.8001229,43.4980759273,"null",NA
"2014-07-14","null",1538,3716450,1.79,100284,22140.7851207,12.0332185528,"null",NA
"2014-07-15","null",1950,4096760,1.95,136205,22401.8978135,14.1013223231,"null",NA
"2014-07-16","null",2417,4585570,2.16,353430,23117.7433792,17.6828179812,"null",NA
"2014-07-17","null",2603,5804450,2.71,503684,22873.2402981,35.1844373621,"null",NA
"2014-07-18","null",2186,6577180,3.03,348336,22308.8843461,16.7211191092,"null",NA
"2014-07-19","null",1905,5680000,2.59,169471,22320.7582175,14.3554641277,"null",NA
"2014-07-20","null",1944,6372740,2.88,116853,22368.5491669,14.6611443978,"null",NA
"2014-07-21","null",2153,5978470,2.67,243140,21916.329018,33.5550561734,"null",NA
"2014-07-22","null",2105,6966760,3.09,262049,22393.2545559,16.0822591563,"null",NA
"2014-07-23","null",2243,7296220,3.2,274946,22555.1377958,17.2360039999,"null",NA
"2014-07-24","null",2101,6717400,2.92,292547,21561.1417205,20.6666928179,"null",NA
"2014-07-25","null",2156,5500730,2.37,182887,22395.7046388,19.7956370068,"null",NA
"2014-07-26","null",1958,6327920,2.7,125320,22185.3021602,14.5046811156,"null",NA
"2014-07-27","null",2008,6211480,2.62,111827,21765.8689681,21.3691116854,"null",NA
"2014-07-28","null",2138,6102470,2.55,141903,21998.4230612,20.6117982505,"null",NA
"2014-07-29","null",2492,6507970,2.7,272756,22311.2672659,18.3715373166,"null",NA
"2014-07-30","null",2222,6374650,2.62,79830,21544.4155287,16.3421950902,"null",NA
"2014-07-31","null",2118,6187770,2.52,111065,22513.067184,23.1058384084,"null",NA
"2014-08-01","null",1822,6361190,2.57,145177,21707.0029307,15.6092475231,"null",NA
"2014-08-02","null",1667,6665580,2.67,101031,21396.6773954,12.3562552979,"null",NA
"2014-08-03","null",1687,6295750,2.5,144327,21796.5719799,12.0901329469,"null",NA
"2014-08-04","null",1944,5992660,2.36,234647,21605.0007662,14.4056092076,"null",NA
"2014-08-05","null",1560,5154370,2.01,94391,21708.9292382,11.4172475052,"null",NA
"2014-08-06","null",1919,5698660,2.2,76411,21920.0957104,14.081955242,"null",NA
"2014-08-07","null",1525,5713790,2.19,88304,20980.3193436,11.1140087571,"null",NA
"2014-08-08","null",1614,5636120,2.14,87502,22056.342242,12.0143789458,"null",NA
"2014-08-09","null",1645,5760020,2.17,72351,22092.306792,12.0564881604,"null",NA
"2014-08-10","null",1533,5482750,2.05,80847,19784.4736542,11.4025436325,"null",NA
"2014-08-11","null",1953,5505760,2.04,132234,22839.528948,14.6848290256,"null",NA
"2014-08-12","null",1905,5649600,2.08,114580,21243.1169961,13.9997443274,"null",NA
"2014-08-13","null",1695,5465790,2,89506,21769.0594774,12.6548421699,"null",NA
"2014-08-14","null",1961,5280750,1.91,99815,20445.1809575,15.0224181261,"null",NA
"2014-08-15","null",1641,4932750,1.78,182760,21791.436815,21.5679678959,"null",NA
"2014-08-16","null",1589,4413540,1.59,82703,21133.3937066,14.4814740114,"null",NA
"2014-08-17","null",1597,4447240,1.6,72244,20891.3956075,11.674949402,"null",NA
"2014-08-18","null",1787,4074930,1.47,108222,21660.2223114,14.2536853367,"null",NA
"2014-08-19","null",1804,4013520,1.45,98273,21086.9689718,13.9344701012,"null",NA
"2014-08-20","null",2354,4795780,1.66,286655,21121.3653784,17.104539395,"null",NA
"2014-08-21","null",1855,5337170,1.84,141302,21788.1641269,13.8210790595,"null",NA
"2014-08-22","null",1902,5331550,1.82,118268,21429.2969776,13.9955685159,"null",NA
"2014-08-23","null",3255,5236920,1.78,81316,21058.8583175,28.4525327123,"null",NA
"2014-08-24","null",2708,5377400,1.81,113086,21902.4251486,64.1080561262,"null",NA
"2014-08-25","null",1688,5843100,1.95,179315,20644.5457174,100.773591565,"null",NA
"2014-08-26","null",1308,6291750,2.09,191411,21358.0111903,98.9565618408,"null",NA
"2014-08-27","null",1129,6098760,2.01,125364,20292.747378,80.8867727075,"null",NA
"2014-08-28","null",1294,6110120,2,246829,21532.2546613,90.9922060716,"null",NA
"2014-08-29","null",1244,6708610,2.18,219724,21284.0968012,82.7221792855,"null",NA
"2014-08-30","null",1330,6832530,2.21,270668,21341.5674965,97.7308463037,"null",NA
"2014-08-31","null",1387,7577360,2.43,308396,20028.0784093,110.006216546,"null",NA
"2014-09-01","null",1258,6827450,2.17,268279,21031.0738006,98.017996275,"null",NA
"2014-09-02","null",1205,6464120,2.05,218797,20600.6171744,109.32002428,"null",NA
"2014-09-03","null",2856,6205680,1.95,153437,20369.1670444,276.273549198,"null",NA
"2014-09-04","null",1967,6507160,2.03,186620,21126.9907213,135.907381552,"null",NA
"2014-09-05","null",893,6595670,2.05,168193,20900.6184592,88.2285513112,"null",NA
"2014-09-06","null",885,6411200,1.98,120274,20934.3082512,94.3216161013,"null",NA
"2014-09-07","null",888,6324720,1.94,151671,21386.7162433,98.9349232411,"null",NA
"2014-09-08","null",911,6166130,1.88,158829,19860.4713854,97.0608630743,"null",NA
"2014-09-09","null",962,6200410,1.88,129058,20654.8667162,109.488180351,"null",NA
"2014-09-10","null",1158,5876080,1.77,280005,20318.0811277,126.088902465,"null",NA
"2014-09-11","null",1058,6583810,1.97,173065,20567.2387074,115.414244159,"null",NA
"2014-09-12","null",947,6544780,1.94,166282,20913.9920949,101.792890872,"null",NA
"2014-09-13","null",837,6365210,1.88,156820,20799.7275863,96.1184110329,"null",NA
"2014-09-14","null",804,6308010,1.85,123269,21156.8680595,95.8546857386,"null",NA
"2014-09-15","null",912,6241990,1.82,132403,19652.5271825,101.211411533,"null",NA
"2014-09-16","null",1090,6557510,1.9,149855,20656.3542396,119.88058194,"null",NA
"2014-09-17","null",1045,6389740,1.84,291633,20041.5003465,117.141526701,"null",NA
"2014-09-18","null",958,6076160,1.74,253082,20202.0844377,108.087748852,"null",NA
"2014-09-19","null",942,5503840,1.57,171739,20653.7496569,109.62516701,"null",NA
"2014-09-20","null",868,5094260,1.44,362626,20657.9504964,107.997911295,"null",NA
"2014-09-21","null",1118,4502750,1.27,239591,19527.5032667,129.917764373,"null",NA
"2014-09-22","null",883,4552650,1.27,137822,19832.1678246,94.4190618422,"null",NA
"2014-09-23","null",1006,4526380,1.26,205229,20519.730404,108.10255686,"null",NA
"2014-09-24","null",622,5285770,1.46,122748,20139.1626876,53.3555452798,"null",NA
"2014-09-25","null",884,5441180,1.5,126179,19983.811792,88.2293706297,"null",NA
"2014-09-26","null",674,5104450,1.4,81632,21162.8581143,76.2186116629,"null",NA
"2014-09-27","null",633,5082540,1.38,95657,19562.3275366,76.5200982491,"null",NA
"2014-09-28","null",796,4821140,1.31,84413,20034.2964505,97.818587242,"null",NA
