,0
0,0.06354321 
1,0.07538401 
2,0.03574954 
3,0.002626899 
4,0.05087517 
5,0.2042786 
6,0.06842448 
7,0.03654964 
8,-0.03866447 
9,-0.08661968 
10,-0.04821662 
11,-0.1488711 
12,0.02557758 
13,0.04755762 
14,-0.008554031 
15,0.001502474 
16,0.09893274 
17,-0.1148786 
18,-0.08079558 
19,-0.08484932 
20,-0.04933151 
21,-0.04987794 
22,0.01752224 
23,0.08702502 
24,0.03812749 
25,0.002877328 
26,-0.002442492 
27,-0.07193893 
28,0.006558843 
29,0.08536856 
30,-0.02356413 
31,0.08389653 
32,0.03952364 
33,-0.03153616 
34,0.0111646 
35,-0.01228128 
